#NAME TARGET GDT EUCL SURF WEXA RESIDUES HBONDS SOLVATION BACKBONE ANDIS R_ENV R_PAIR R_CBETA R_VDW R_CENPACK R_CEN_HB 
server05_TS1 N/A N/A 0.904653424039659 0.443589154411765 0.771680146629661 0.48552888870962935 0.40028560564856813 0.24214982088608109 0.2868494792997518 0.8074292132462362 0.6148721046267086 0.7141244914817231 0.13945553673598607 0.5011873094187957 0.2319927239968872 0.40291647576737954 
server06_TS1 N/A N/A 0.912069756464477 0.463345568956476 0.762756138229169 0.26408880374024235 0.3584330077883889 0.24952917626198795 0.22164807187558988 0.792171489856906 0.6185988281061195 0.6060492453767732 0.11702593787098556 0.5005106442382249 0.23041082924656195 0.41164761988860465 
server07_TS1 N/A N/A 0.905271051680222 0.453468536770281 0.739074905572413 0.26215235865218955 0.34075242044145654 0.25007217797339776 0.19886115085594971 0.8147030261007782 0.6412115546663238 0.5429853516723517 0.21317525285158437 0.5001761923840305 0.2080237155379162 0.41516520667310086 
server08_TS1 N/A N/A 0.820241245440269 0.450704225352113 0.67665742204901 0.2643208612931313 0.34552208807812396 0.2705214523694216 0.3379121157858313 0.9008291061993909 0.6502631615781177 0.6529153944577955 0.4195651367599006 0.5011986257799044 0.21464472958308395 0.4730289759927352 
server09_TS1 N/A N/A 0.833908884652627 0.412434615639277 0.627617999919283 0.2619303487148709 0.3038282978477825 0.36471458300232634 0.22175114432494317 0.921234911057858 0.6762061723690617 0.6005571389668635 0.4884013798379342 0.500462467437484 0.21254713555965687 0.46534177345480054 
server10_TS1 N/A N/A 0.90308538545845 0.416251778093883 0.707796447703159 0.2602753503929194 0.3317523182981797 0.3006818018929429 0.28624029180458355 0.9265908012699648 0.630799325211463 0.5883989541105904 0.2482203666979159 0.5143518142154012 0.20577574822449882 0.4735723897451076 
server11_TS1 N/A N/A 0.431281065883355 0.379467722423843 0.561259766169792 0.2610481516549025 0.25993136458492627 0.45350279987703473 0.14158769445836106 0.9164801456485863 0.7118377744241045 0.569285975414564 0.6426456203297156 0.5006650787335873 0.1828929428311814 0.46505828989957476 
server12_TS1 N/A N/A 0.918399442050445 0.399739016963897 0.771923820617626 0.07251349862771816 0.3829509024641237 0.22619865839205408 0.20788162848770728 0.8102620012083318 0.6112348530894665 0.6684181542512656 0.19377528442733158 0.5140475755943265 0.24969388304349838 0.42713600649936967 
server13_TS1 N/A N/A 0.507601833474529 0.398805305254632 0.506059929722015 0.26262050924169483 0.24981812946774962 0.45134890603988786 0.18547005559271945 0.9602679820453247 0.7238585951898635 0.5101923695337649 0.7240584865320253 0.5 0.1937608521218107 0.4729464918045353 
server14_TS1 N/A N/A 0.902019676203383 0.43567826309941 0.69436484327524 0.23706583183499394 0.36869942041134607 0.24101012927114798 0.20086227698845358 0.8729594195141535 0.6333267961101829 0.651728903497418 0.26644573301887503 0.5080586999966646 0.21782447232748342 0.4150700578657791 
server15_TS1 N/A N/A 0.912916448452676 0.483795558389119 0.754989138482584 0.26830480398583145 0.3676841741732863 0.19647204978561236 0.3839132444679749 0.8026764752393348 0.6011171624998182 0.671585393329075 0.37894864422935 0.5106142227080898 0.28816017531090743 0.4671297916594719 
server16_TS1 N/A N/A 0.89601066056459 0.388877551020408 0.760470589993881 0.25704978813614837 0.36404146120736053 0.27249905082799997 0.23703632104862557 0.825953588704936 0.6349396246978215 0.6434343715829173 0.21826962347609097 0.5003541768686205 0.18064970449236148 0.38813079166846387 
server17_TS1 N/A N/A 0.917741907228853 0.425141107815938 0.729631036855137 0.25890703562357004 0.37234134705581207 0.21401581797250113 0.23181831209955003 0.8118408408043111 0.6445576129135405 0.6832569706703885 0.2805040503414266 0.5008025190412532 0.21685978743078552 0.4000926061218152 
server18_TS1 N/A N/A 0.911127513800631 0.392621318520071 0.746351764882137 0.23784232828329988 0.3573211382907162 0.22414045171530797 0.21511183497510658 0.8165991541677311 0.6342562171884325 0.6601304546194268 0.1787930450144475 0.5008455145638353 0.22820871448702781 0.37980255586387457 
server19_TS1 N/A N/A 0.75906769277598 0.434595397178916 0.656968274643458 0.258174397383412 0.323157841823907 0.2975112136815742 0.22992562795283536 0.8644306445923098 0.6418684341894767 0.6382031632117295 0.4647670984046356 0.5059559820667997 0.21117933821040324 0.44596532422978785 
server20_TS1 N/A N/A 0.694972643654063 0.387837837837838 0.565664203061094 0.26316420540636104 0.2635822513389821 0.4205140085722125 0.14434915484085523 0.9397212727221121 0.7006824763723646 0.5640136402462 0.6097439634129367 0.5210311506967327 0.2460587303915974 0.4841211401131176 
server01_TS1 N/A N/A 0.871085026916394 0.368814774409725 0.68180144819519 0.2588901222691436 0.3160944852406971 0.3234280278314546 0.2075833854807872 0.8988452929799166 0.6914552480281141 0.577315449543116 0.3594226957318063 0.5000989202755324 0.1782751444354042 0.4244159333569093 
server02_TS1 N/A N/A 0.870959753609845 0.376612209802236 0.681774233877307 0.2596638880365951 0.31380770693326276 0.3124935242847628 0.20948221569422507 0.9014555735318566 0.6889085181032464 0.5322593688487011 0.3026141973204945 0.5000222296266382 0.19192280529524608 0.43151051454303513 
server03_TS1 N/A N/A 0.88550866546182 0.348827181786823 0.716381920252334 0.2596925344306825 0.32665280458557644 0.3188167415552889 0.2166421245743042 0.8863402751590498 0.6844444669511487 0.5904126881133609 0.23952650053850208 0.5 0.18864218511341665 0.4316506568830677 
server04_TS1 N/A N/A 0.866212481874729 0.402147780092964 0.686308364035207 0.26478589025850957 0.32138231949535734 0.2543409677545538 0.19718454208423083 0.8846357366161033 0.6676933804111014 0.6358242932503382 0.40044697521045 0.5113916563364788 0.24879380080075406 0.47594078312238364 
